Date,Symbol,r_lag1,r_lag5_mean,r_lag5_std,cs_rank,hype_score,degree_cen,mention_10d,sentiment_5d,y_sign_next,r_next,comm_Community_1,comm_Community_10,comm_Community_11,comm_Community_12,comm_Community_13,comm_Community_14,comm_Community_2,comm_Community_3,comm_Community_4,comm_Community_5,comm_Community_6,comm_Community_7,comm_Community_8,comm_Community_9
2025-12-30,ADVANC,0.0032051487206845586,-0.0006328637081987942,0.0034942992556993746,0.44,0.8340338761433772,0.5306122448979591,0.0,0.0,1,0.025559059315158894,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-30,AOT,-0.009345794392523366,-0.007369982136267161,0.00520312277846874,0.12,0.5714144407022494,0.3877551020408163,0.0,0.0,1,0.028301886792452935,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-12-30,AWC,0.0,-0.005487941466659252,0.013908145580630355,0.38,0.26474316484215,0.0,0.0,0.0,0,-0.00943394573173828,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-12-30,BANPU,-0.008064519328660591,-0.003169871165749849,0.01130038032298147,0.16,0.5168610876183813,0.3469387755102041,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-12-30,BBL,0.0059347254378769865,0.0029815248585076002,0.003634297722545737,0.52,0.8021884428957072,0.4897959183673469,0.0,0.0,1,0.014749280663547859,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-12-30,BDMS,-0.005154652813465166,-0.00096823785285165,0.012778485082987904,0.3,0.6121736045413307,0.4081632653061224,0.0,0.0,1,0.005181360930161416,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-12-30,BEM,0.01904759859972649,0.0019406897027303138,0.012376226299018281,0.9,0.3153698175379232,0.0204081632653061,0.0,0.0,0,-0.009345738745091592,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-12-30,BH,-0.006309125864393028,-0.004282656717154309,0.016111397106529556,0.2,0.5733025950300475,0.4693877551020408,0.0,0.0,1,0.00952377549489114,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-12-30,BJC,0.00699295054049176,-0.004062346180877219,0.011476224374711186,0.58,0.3859487784668349,0.1020408163265306,0.0,0.0,0,-0.02083323425750805,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-12-30,BTS,0.017857125751218117,-0.003266674948877335,0.022578293872169242,0.84,0.3820598396963626,0.0816326530612244,0.0,0.0,1,0.017543843138140724,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-12-30,CBG,0.011627877635893569,-0.0010452111853620494,0.015823680467852496,0.68,0.4037334379706352,0.1428571428571428,0.0,0.0,0,-0.0057471566429122545,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-12-30,CCET,0.0,-0.011900814313507268,0.010862319183807874,0.38,0.2944691120222417,0.0408163265306122,0.0,0.0,1,0.017699124552614354,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-12-30,CENTEL,0.04580155672428465,0.006141398475041293,0.0224895713289972,1.0,0.2958173008031775,0.0,0.0,0.0,0,-0.029197098582607328,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-12-30,COM7,-0.024875613452234657,-0.011748909875425229,0.012761758593559061,0.04,0.5390811125917591,0.3469387755102041,0.0,0.0,0,-0.01530623990334845,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-12-30,CPALL,-0.005714337930709412,-0.007828215378983571,0.008470503866592295,0.26,0.4825031688955927,0.183673469387755,0.0,0.0,0,-0.00574708826114978,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-12-30,CPF,0.004608235017225404,0.0018687574021216235,0.007722819323179418,0.48,0.7091921123853364,0.4897959183673469,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-12-30,CPN,0.018433185778979233,-0.0016946018160034048,0.016222236366716977,0.86,0.2998494178860543,0.0204081632653061,0.0,0.0,1,0.009049776674785015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-12-30,CRC,-0.0055249044619356535,-0.0021621816842616994,0.010681844261674654,0.28,0.1885120701342117,0.1224489795918367,0.0,0.0,0,-0.005555486288420952,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-12-30,DELTA,0.011695875052252003,-0.0021739443369003463,0.017403789499201145,0.7,0.7549857549857552,0.5102040816326531,0.0,0.0,1,0.0722544088420296,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-12-30,EGCO,0.013333303552851117,-0.0017156081025596626,0.00862493611756676,0.74,0.2641362307564376,0.0,0.0,0.0,1,0.004385978204837437,0,0,0,0,0,0,0,0,0,0,0,0,0,1
